instruction,context,response,category
Do cC and CXC chemokine levels in children with meningococcal sepsis accurately predict mortality and disease severity?,"Chemokines are a superfamily of small peptides involved in leukocyte chemotaxis and in the induction of cytokines in a wide range of infectious diseases. Little is known about their role in meningococcal sepsis in children and their relationship with disease severity and outcome. Monocyte chemoattractant protein (MCP)-1, macrophage inflammatory protein (MIP) 1alpha, growth-related gene product (GRO)-alpha and interleukin (IL)-8 were measured in 58 children with meningococcal sepsis or septic shock on admission and 24 hours thereafter. Nine patients died. Serum chemokine levels of survivors and nonsurvivors were compared, and the chemokine levels were correlated with prognostic disease severity scores and various laboratory parameters. Extremely high levels of all chemokines were measured in the children's acute-phase sera. These levels were significantly higher in nonsurvivors compared with survivors and in patients with septic shock compared with patients with sepsis (P < 0.0001). The cutoff values of 65,407 pg/ml, 85,427 pg/ml and 460 pg/ml for monocyte chemoattractant protein, for IL-8 and for macrophage inflammatory protein 1alpha, respectively, all had 100% sensitivity and 94-98% specificity for nonsurvival. Chemokine levels correlated better with disease outcome and severity than tumor necrosis factor (TNF)-alpha and correlated similarly to interleukin (IL)-6. In available samples 24 hours after admission, a dramatic decrease of chemokine levels was seen.",Initial-phase serum levels of chemokines in patients with meningococcal sepsis can predict mortality and can correlate strongly with disease severity. Chemokines may play a key role in the pathophysiology of meningococcal disease and are potentially new targets for therapeutic approaches.,closed_qa
Are sAH gene variants associated with obesity-related hypertension in Caucasians : the PEGASE Study?,"The SAH gene locus has recently been proposed to be involved in obesity-related hypertension in Japanese individuals. To replicate independently the initial findings in another ethnic group, we scanned the entire SAH gene in 190 Caucasian chromosomes. A total of 651 patients with essential hypertension and 776 controls (PEGASE Study) were genotyped for all identified variants using allele-specific oligonucleotides, and single nucleotide polymorphism as well as haplotype analyses were carried out. We also performed transient transfection experiments, northern and western blots, immunoprecipitation, and acyl-coenzyme A synthetase activity assays. We identified five polymorphisms in the promoter region (C-1808T, G-1606A, -962ins/del, G-451A, T-67C), two in introns 5 and 7 (T+9/In5C, A+20/In7T), and one missense variant (K359N). Carriage of the -1606A allele was significantly associated with hypertension [odds ratio (OR) 1.28, P = 0.049] as was 359N (OR 1.35, P = 0.048) compared with non-carriers. Conversely, for -962del, the OR for hypertension was 0.80 (P = 0.042). The SAH alleles -1606A and 359N, but not -962ins/del, displayed a raising effect on body mass index (BMI; P = 0.004 and P = 0.030, respectively) in hypertensive as well as in control individuals. After adjustment for BMI in hypertensive individuals, only the OR associated with -962ins/del remained significant (OR 0.77, P = 0.028). Functional analyses in BHK did not reveal differences for SAH 359N or 359K-containing constructs, formally excluding K359N as the functional variant.","We confirm recent evidence that the SAH locus is associated with obesity-related hypertension, in which pathophysiological context SAH variants affecting blood pressure remain, however, to be shown.",closed_qa
Do the functional anatomy of gaze-evoked tinnitus and sustained lateral gaze?,"To identify neural sites associated with gaze-evoked tinnitus (GET), an unusual condition that may follow cerebellar-pontine angle surgery. The authors examined eight patients with GET and used PET to map the neural sites activated by lateral gaze in them and seven age- and sex-matched control subjects. In patients with GET, tinnitus loudness and pitch increased with lateral gaze and, to a lesser extent, up and down gaze. Evidence for neural activity related to GET was seen in the auditory lateral pontine tegmentum or auditory cortex. GET-associated nystagmus appears to activate the cuneus and cerebellar vermis. These sites were found in addition to an extensive network that included frontal eye fields and other sites in frontal, parietal, and temporal cortex that were activated by lateral gaze in seven control subjects and the patients. The unilateral deafness in patients with GET was associated with expansion of auditory cortical areas responsive to tones delivered to the good ear. In addition to GET, unilateral deafness, end-gaze nystagmus, and facial nerve dysfunction were common.","Patients with GET have plastic changes in multiple neural systems that allow neural activity associated with eye movement, including those associated with the neural integrator, to stimulate the auditory system. Anomalous auditory activation is enhanced by the failure of cross-modal inhibition to suppress auditory cortical activity. The time course for the development of GET suggests that it may be due to multiple mechanisms.",closed_qa
Does neighborhood fast-food outlet exposure amplify inequalities in diet and obesity?,"Greater exposures to fast-food outlets and lower levels of education are independently associated with less healthy diets and obesity. Little is known about the interplay between these environmental and individual factors. The purpose of this study was to test whether observed differences in fast-food consumption and obesity by fast-food outlet exposure are moderated by educational attainment. In a population-based cohort of 5958 adults aged 29-62 y in Cambridgeshire, United Kingdom, we used educational attainment-stratified regression models to estimate the food-frequency questionnaire-derived consumption of energy-dense ""fast foods"" (g/d) typically sold in fast-food restaurants and measured body mass index (BMI; in kg/m(2)) across geographic information system-derived home and work fast-food exposure quartiles. We used logistic regression to estimate the odds of obesity (BMI ≥30) and calculated relative excess risk due to interaction (RERI) on an additive scale. Participant data were collected during 2005-2013 and analyzed in 2015. Greater fast-food consumption, BMI, and odds of obesity were associated with greater fast-food outlet exposure and a lower educational level. Fast-food consumption and BMI were significantly different across education groups at all levels of fast-food outlet exposure (P<0.05). High fast-food outlet exposure amplified differences in fast-food consumption across levels of education. The relation between fast-food outlet exposure and obesity was only significant among those who were least educated (OR: 2.05; 95% CI: 1.08, 3.87; RERI = 0.88), which suggested a positive additive interaction between education and fast-food outlet exposure.",These findings suggest that efforts to improve diets and health through neighborhood-level fast-food outlet regulation might be effective across socioeconomic groups and may serve to reduce observed socioeconomic inequalities in diet and obesity.,closed_qa
Does conditioned pain modulation predict exercise-induced hypoalgesia in healthy adults?,"Conditioned pain modulation (CPM) is the concept that pain inhibits pain and has potential rehabilitation implications for exercise prescription. The purpose of this study was to determine whether changes in pressure pain perception after a thermal conditioning stimulus (i.e., CPM) was attenuated with aging and whether CPM predicted pain relief after exercise (exercise-induced hypoalgesia (EIH)) in healthy young and older adults. Twenty young (21.9 ± 3.3 yr, 10 men) and 19 older (72.0 ± 4.5 yr, 10 men) adults participated in three sessions: one familiarization and two experimental (EIH and CPM) sessions. Pressure pain perception was assessed using a weighted Lucite edge placed on the right index finger for 1 min. EIH was determined by measuring pressure pain perception before and after prolonged submaximal isometric contraction of the elbow flexors. CPM was assessed by measuring pressure pain perception at the finger while the foot was immersed in neutral water versus painful ice water. Young, but not older, adults reported a decrease in pressure pain at the finger while their foot was immersed in the ice water bath compared with the neutral bath (i.e., CPM, trial-age: P = 0.001). Pressure pain ratings decreased after exercise (P = 0.03) that was perceived as painful (peak arm pain, 7.0 ± 3.3) for both young and older adults. Regression analysis showed that after controlling for age and baseline pain, CPM predicted EIH (model adjusted R = 0.23, P = 0.007).","CPM was attenuated in older adults, as measured with a noxious pressure stimulus after a thermal conditioning stimulus, and adults with greater CPM were more likely to report greater EIH.",closed_qa
Does notch-1 promote breast cancer cells proliferation by regulating LncRNA GAS5?,"Notch signaling is indicated as novel therapeutic targets to prevent recurrence of breast cancer. LncRNAs were identified as downstream target of Notch pathway. However, the exact mechanisms involved in Notch signaling, lncRNAs and breast cancer remain to be explained. This original research aimed to determine the prognostic implications of Notch-1 for breast cancer, and explain mechanisms involved in regulation of lnRNA GAS5 by Notch-1, and identify the function of this mechanism on breast cancer. Thirty breast cancer patients were included from The First Affiliated Hospital of Anhui Medical University (China) since January 2006 in this study. The mRNA level by RT-PCR and protein level of Notch-1 by western blot in tumor tissues and adjacent normal tissues were evaluated and 5-year survival analysis was applied to examine the significance of Notch-1. The levels of ten reported lncRNAs were determined by RT-PCR, and subsequently linear analysis was applied to analyze the relationship between these four unique lncRNAs and protein level of Notch-1, which identified the most relevant lncRNA GAS5 with Notch-1 in breast cancer. Subsequently, Notch1-siRNA was applied to influence the expression of Notch-1 in T47D, then the level of RSA5 was measured by RT-PCR, and CCK-8 assay was applied to measure the proliferation of T47D cells. High level of Notch-1 provided a poor prognosis in breast cancer. Interference of Notch-1 significantly suppressed proliferation of T47D cell (P < 0.05), and significantly increased the level of GAS5.",Notch-1 promotes breast cancer cells proliferation by regulating LncRNA GAS5.,closed_qa
Chronic osteomyelitis in childhood: is surgery always indicated?,"Presently, most children with chronic osteomyelitis undergo surgery with the inherent risk of damage to their growth plate. We demonstrate a treatment regimen based on imaging procedures focussing on antibiotics in order to reduce the rate of surgical interventions. We retrospectively evaluated all 11 patients with clinically suspected chronic osteomyelitis who were treated at our institution from 1989 to 1995. Patients underwent open biopsy and surgical treatment only if imaging procedures showed signs indistinguishable from malignancy, or if they were highly suggestive for the presence of pus, joint infection or osteonecrosis. The patients were followed up for a minimum of 3 years. All five patients treated solely with antibiotics recovered completely. Three patients were subjected to open biopsy and surgical treatment since they showed radiological signs indistinguishable from malignancy, and two patients due to pus or osteonecrosis. In follow-up, there was one relapse of chronic osteomyelitis 11 months after the first treatment course with surgery and antibiotics. One patient suffering from Ewing's sarcoma as detected by open biopsy was excluded.","Our diagnostic procedure was useful to reduce the rate of surgery. Surgical treatment of chronic osteomyelitis is not always neccessary especially in cases of missing necrosis, joint infection and abscess as demonstrated by the complete recovery of our patients treated solely with antibiotics.",closed_qa
Does exercise protect against articular cartilage degeneration in the hamster?,"It has been reported that osteoarthritis can occur in hamsters. The present study was undertaken to determine the effects of exercise on the composition of articular cartilage and synovial fluid and on the development of cartilage degeneration in these animals. Young (2.5-month-old) group-housed hamsters were compared with 5.5-month-old hamsters that had undergone 3 months of daily wheel running exercise (6-12 km/day) or 3 months of sedentary, individually housed living. The condition of the femoral condyles was determined by scanning electron microscopy in 12 exercising hamsters, 12 sedentary hamsters, and 6 of the young controls. The content of proteoglycan, hyaluronic acid, hydroxyproline, and proline in synovial fluid and patellar cartilage was measured. By scanning electron microscopy, the femoral articular cartilage was smooth and undulating in young controls and older exercising hamsters. In contrast, the femoral condyles were fibrillated in all 12 of the sedentary hamsters. There was no difference in the patellar cartilage collagen content between the 3 groups, but proteoglycan content and synthesis were lower in the patellar cartilage of the sedentary group. Synovial fluid volume was also decreased in the sedentary group compared with the young controls or the older exercising hamsters.","A sedentary lifestyle in the hamster leads to a lower proteoglycan content in the cartilage and a lower synovial fluid volume. These changes are associated with cartilage fibrillation, pitting, and fissuring. Daily exercise prevents early cartilage degeneration and maintains normal articular cartilage.",closed_qa
Does bisoprolol/amlodipine combination therapy improve blood pressure control in patients with essential hypertension following monotherapy failure?,"The efficacy of a bisoprolol/amlodipine fixed-dose combination (FDC) in patients with essential hypertension who had not responded to bisoprolol or amlodipine monotherapy was investigated. In an 18 week, multicenter, randomized, comparative phase III study (ClinicalTrials.gov identifier: NCT01977794), patients with blood pressure uncontrolled by bisoprolol or amlodipine monotherapy (5 mg OD) began treatment with bisoprolol/amlodipine FDC 5/5 mg OD. Patients with controlled blood pressure (BP) at week 6/12 continued at current FDC strength, and patients with uncontrolled BP received FDC dose uptitration (maximum dose: 10/10 mg). The primary efficacy endpoint was change in systolic blood pressure (SBP) at week 18 versus baseline (corresponding to SBP under monotherapy), and secondary endpoints included change from baseline in SBP after week 6/12 and percentage of BP-controlled patients at week 6, 12 and 18. Safety was assessed by number/types of adverse events (AEs). Two hundred patients were randomized to treatment (100 with uncontrolled BP under bisoprolol and 100 under amlodipine monotherapy). Overall, 196 patients were eligible for analysis. The patient groups displayed similar mean SBP reductions from baseline by study end (bisoprolol monotherapy failure: 25.9 ± 12.82 mmHg reduction; amlodipine monotherapy failure: 24.7 ± 11.67 mmHg reduction; p < 0.001 for both). Overall mean SBP decreased by 25.3 ± 12.25 mmHg (p < 0.001). Mean heart rate reductions were also observed (bisoprolol monotherapy failure: 6.6 ± 9.67 bpm reduction; amlodipine monotherapy failure: 11.5 ± 8.65 bpm reduction; p < 0.001 for both). Most patients (83.2%) displayed BP control with bisoprolol/amlodipine 5/5 mg at 6 weeks. Treatment was well tolerated at all dose levels; treatment-related AEs (mostly of mild/moderate intensity) were reported by 52.5% of patients, with no severe or serious treatment-related AEs reported. As the study focused on hypertension, total cardiovascular risk was not assessed.",Bisoprolol/amlodipine FDC therapy is associated with significant BP improvements in patients with essential hypertension following monotherapy failure.,closed_qa
Does global DNA hypomethylation occur in the early stages of intestinal type gastric carcinoma?,"Global DNA hypomethylation has been found in the premalignant stages of some neoplasms and has been implicated as an important factor for tumour progression. The aim of this study was to evaluate whether DNA hypomethylation occurs during the process of gastric carcinogenesis. Gastric specimens were obtained from 49 patients and histologically classified as: normal 10, superficial gastritis 14, chronic atrophic gastritis with intestinal metaplasia 15, and intestinal type of gastric carcinoma 10. Global DNA methylation was assessed by incubating DNA with (3H)-S-adenosylmethionine and Sss1 methylase. A higher incorporation of (3H) methyl groups reflects a lower degree of intrinsic methylation. A graduated increase in (3H) methyl group incorporation into DNA was found over the range extending from normal gastric mucosa, to superficial gastritis and to chronic atrophic gastritis (136,556 (24,085) v 235,725 (38,636) v 400,998 (26,747 dpm/micrograms/DNA respectively; p = 0.0002). No further increase was found in specimens from patients with carcinoma. No differences were found between extent of DNA methylation in neoplastic or non-neoplastic mucosa from patients with gastric carcinoma. Hypomethylation of DNA increased substantially with severe atrophy (p = 0.01) or with type III intestinal metaplasia (p = 0.15).","Global DNA hypomethylation occurs in the early stages of gastric carcinogenesis, and it may be a novel biomarker of gastric neoplasia, useful in monitoring the response to chemopreventive agents.",closed_qa
Do postmenopausal women with osteoarthritis and osteoporosis show different ultrastructural characteristics of trabecular bone of the femoral head?,"Osteoporosis (OP) and osteoarthritis (OA) are public health diseases affecting the quality of life of the elderly, and bring about a heavy burden to the society and family of patients. It has been debated whether or not there is an inverse relationship between these two disorders. To compare the exact difference in bone tissue structure between osteoporosis and osteoarthritis, we observed the ultrastructure of trabecular bone from the femoral heads using scanning electron microscopy (SEM) and transmission electron microscopy (TEM). A total of 15 femoral head specimens from postmenopausal women were collected during the procedures of total or hemi hip replacement (OP, n = 8; OA, n = 7). The morphologic structure of the trabecular bone, collagen fibers, resorption lacuna and osteoblasts were observed. Under SEM, osteoporotic trabeculae appeared to be thinning, tapering, breaking and perforating. A number of resorption lacunae of various shapes were seen on the surface of the trabeculum. The collagen fibers of lacuna were resorbed. On occasion, naked granular bone crystals could be found. In the OA group, the trabecular bone looked thick with integrated structure. Reticular and granular new bone could be found. The trabeculum was covered by well-arranged collagen fibers around the resorption lacuna. In the OP group, under TEM, marginal collagen fibers were observed to be aligned loosely with enlarged spaces. A few inactive osteoblasts and no inflammatory cells were seen. In the OA group, the collagen fibers inside the trabeculum were arranged in a dense manner with many active osteoblasts and inflammatory cells infiltrating the matrix.","We found significant differences in the trabecular bone, collagen fibers, lacunae and osteoblasts between postmenopausal women with OP and OA. These findings support the hypothesis that there is an inverse relationship between OP and OA.",closed_qa
Does tET1 regulate hypoxia-induced epithelial-mesenchymal transition by acting as a co-activator?,"Hypoxia induces the epithelial-mesenchymal transition, EMT, to promote cancer metastasis. In addition to transcriptional regulation mediated by hypoxia-inducible factors, HIFs, other epigenetic mechanisms of gene regulation, such as histone modifications and DNA methylation, are utilized under hypoxia. However, whether DNA demethylation mediated by TET1, a DNA dioxygenase converting 5-methylcytosine, 5mC, into 5-hydroxymethylcytosine, 5hmC, plays a role in hypoxia-induced EMT is largely unknown. We show that TET1 regulates hypoxia-responsive gene expression. Hypoxia/HIF-2α regulates the expression of TET1. Knockdown of TET1 mitigates hypoxia-induced EMT. RNA sequencing and 5hmC sequencing identified the set of TET1-regulated genes. Cholesterol metabolic process genes are among the genes that showed high prevalence and statistical significance. We characterize one of the genes, INSIG1 (insulin induced gene 1), to confirm its expression and the 5hmC levels in its promoter. Knockdown of INSIG1 also mitigates hypoxia-induced EMT. Finally, TET1 is shown to be a transcriptional co-activator that interacts with HIF-1α and HIF-2α to enhance their transactivation activity independent of its enzymatic activity. TET1 acts as a co-activator to further enhance the expression of INSIG1 together with HIF-2α. We define the domain in HIF-1α that interacts with TET1 and map the domain in TET1 that confers transactivation to a 200 amino acid region that contains a CXXC domain. The TET1 catalytically inactive mutant is capable of rescuing hypoxia-induced EMT in TET1 knockdown cells.","These findings demonstrate that TET1 serves as a transcription co-activator to regulate hypoxia-responsive gene expression and EMT, in addition to its role in demethylating 5mC.",closed_qa
Is prophylactic atropine necessary during ketamine sedation in children?,"This was a retrospective study based on paediatric patients who received ketamine for procedures done at the children's emergency department from July 2010 to September 2010. Patients who were given atropine were compared with patients who were not given atropine with regard to clinically significant hypersalivation. All other side effects of ketamine (airway, respiratory, cardiovascular, neurological and gastrointestinal side effects) were documented. Two out of the 164 (1.2%) patients who received atropine and 1 out of the 119 (0.8%) patients who did not receive atropine had desaturation (odds ratio (OR) 1.5; 95% CI 0.1-16.3). These three patients were all under 5 years old (P = 0.3) and had airway malalignment requiring repositioning. None had hypersalivation requiring intervention. Two out of 164 (1.2%) who received atropine and 3 out of 119 (2.5%) who did not receive atropine had vomiting (OR 0.5; CI 0.1-2.9). One patient who vomited did not receive atropine and was given ondansetron. The others had delayed discharges following a longer period of observation in the unit.","There was no clinically significant hypersalivation in children given ketamine sedation, with or without the coadministration of atropine. Ketamine is a relatively safe drug for use in children with few intervention-based side effects.",closed_qa
Is it feasible to merge data from national shoulder registries?,"The Nordic Arthroplasty Register Association was initiated in 2007, and several papers about hip and knee arthroplasty have been published. Inspired by this, we aimed to examine the feasibility of merging data from the Nordic national shoulder arthroplasty registries by defining a common minimal data set. A group of surgeons met in 2014 to discuss the feasibility of merging data from the national shoulder registries in Denmark, Norway, and Sweden. Differences in organization, definitions, variables, and outcome measures were discussed. A common minimal data set was defined as a set of variables containing only data that all registries could deliver and where consensus according to definition of the variables could be made. We agreed on a data set containing patient-related data (age, gender, and diagnosis), operative data (date, arthroplasty type and brand), and data in case of revision (date, reason for revision, and new arthroplasty brand). From 2004 to 2013, there were 19,857 primary arthroplasties reported. The most common indications were osteoarthritis (35%) and acute fracture (34%). The number of arthroplasties and especially the number of arthroplasties for osteoarthritis have increased in the study period. The most common arthroplasty type was total shoulder arthroplasty (34%) for osteoarthritis and stemmed hemiarthroplasty (90%) for acute fractures.","We were able to merge data from the Nordic national registries into 1 common data set; however, the set of details was reduced. We found considerable differences between the 3 countries regarding incidence of shoulder arthroplasty, age, diagnoses, and choice of arthroplasty type and brand.",closed_qa
Is laparoscopic radical trachelectomy an alternative to laparotomy with improved perioperative outcomes in patients with early-stage cervical cancer?,"Radical trachelectomy is an established surgical approach for managing young women with cervical cancer wishing to preserve fertility. The aim of this study was to compare perioperative outcomes between laparoscopic (LRT) and abdominal radical trachelectomy (ART). We reviewed the records of all women undergoing either LRT or ART in our institution since 2004. Demographic data, clinicopathologic data, and perioperative outcomes were collected and compared between the 2 procedures. Overall, 27 women were identified. All of them had stage IB1 disease. Eleven (40.8%) women underwent LRT, whereas 16 (59.2%) women underwent ART. Age, parity, and body mass index, as well as histologic type, grade, and presence of lymphovascular space invasion were comparable between groups. The median length of the parametrial tissue removed was shorter in LRT versus ART (P = 0.022). The median blood loss and length of stay were significantly reduced in the LRT group (85 vs 800 mL, P < 0.001; and 4 versus 7 days, P = 0.003). The median operative time was longer with the laparoscopic approach (320 versus 192.5 minutes, P < 0.001). Early grade 1 to 2 postoperative morbidity (mainly high urinary residuals) was comparable between groups; however, more grade 3 and late morbidity events were recorded in the ART group.","This first comparison study between LRT and ART for fertility preservation in women with cervical cancer shows that laparoscopy performed better in terms of blood loss and length of stay. Laparoscopic radical trachelectomy could be the preferred option for these patients; however, further studies are needed to confirm comparable survival outcomes.",closed_qa
